173,100,7,14.7,137,62,0.45
139,132,6.4,17.8,162,43,0.27
198,112,6.9,16.7,134,81,0.6
118,138,7.1,15.7,188,39,0.21
139,94,8.6,13.6,138,51,0.37
175,160,12.1,20.3,215,65,0.3
131,154,11.2,21.5,171,40,0.23
158,141,9.7,29.6,148,42,0.28
158,137,7.4,18.2,197,56,0.28
132,151,7.5,17.2,113,37,0.33
162,110,6,15.9,145,70,0.48
144,113,10.1,42.8,81,41,0.51
162,137,7.2,20.7,185,56,0.3
169,129,8.5,16.7,157,58,0.37
129,138,6.3,10.1,197,47,0.24
166,148,11.5,33.4,156,49,0.31
185,118,6,17.5,156,69,0.44
155,121,6.1,20.4,154,57,0.37
175,111,4.1,27.2,144,74,0.51
136,110,9.4,26,90,39,0.43
153,133,8.5,16.9,215,65,0.3
110,149,9.5,24.7,184,40,0.22
160,86,5.3,10.8,118,57,0.48
112,123,8,16.6,127,34,0.27
147,110,8.5,18.4,137,54,0.39
204,122,6.1,21.0,126,72,0.57
131,102,6.6,13.4,130,51,0.39
170,127,8.4,24.7,135,62,0.46
173,123,8.7,19.0,188,85,0.45
132,131,13.8,29.2,122,38,0.31
